Product_ID,Product_Name,SKU,Current_Price,Regular_Price,Currency,On_Sale,Average_Rating,Review_Count,Categories,In_Stock,Product_URL
11827,נקודות של התחזקות &#8211; חזק ואמץ מאוד!,nekudot_shel_hitchzakot-11,0.4,0.4,ILS,False,0.0,0,"חוברות, נקודות של התחזקות, קונטרסים, קונטרסים - הוצאת בחינות, קונטרסים בינונים",True,https://malevegadish.com/product/%d7%a0%d7%a7%d7%95%d7%93%d7%95%d7%aa-%d7%a9%d7%9c-%d7%94%d7%aa%d7%97%d7%96%d7%a7%d7%95%d7%aa-%d7%97%d7%96%d7%a7-%d7%95%d7%90%d7%9e%d7%a5-%d7%9e%d7%90%d7%95%d7%93/
11825,"נקודות של התחזקות &#8211; אל תפחד, השם איתך!",nekudot_shel_hitchzakot-10,0.4,0.4,ILS,False,0.0,0,"חוברות, נקודות של התחזקות, קונטרסים, קונטרסים - הוצאת בחינות, קונטרסים בינונים",True,https://malevegadish.com/product/%d7%a0%d7%a7%d7%95%d7%93%d7%95%d7%aa-%d7%a9%d7%9c-%d7%94%d7%aa%d7%97%d7%96%d7%a7%d7%95%d7%aa-%d7%90%d7%9c-%d7%aa%d7%a4%d7%97%d7%93-%d7%94%d7%a9%d7%9d-%d7%90%d7%99%d7%aa%d7%9a/
11813,נקודות של התחזקות &#8211; לברוח אל השם,nekudot_shel_hitchzakot-5,0.4,0.4,ILS,False,0.0,0,"חוברות, נקודות של התחזקות, קונטרסים, קונטרסים - הוצאת בחינות, קונטרסים בינונים",True,https://malevegadish.com/product/%d7%a0%d7%a7%d7%95%d7%93%d7%95%d7%aa-%d7%a9%d7%9c-%d7%94%d7%aa%d7%97%d7%96%d7%a7%d7%95%d7%aa-%d7%a9%d7%91%d7%a2%d7%94-%d7%9e%d7%a9%d7%99%d7%91%d7%99-%d7%98%d7%a2%d7%9d/
11811,נקודות של התחזקות &#8211; אחיזת עיניים בלבד,nekudot_shel_hitchzakot-4,0.4,0.4,ILS,False,0.0,0,"חוברות, נקודות של התחזקות, קונטרסים, קונטרסים - הוצאת בחינות, קונטרסים בינונים",True,https://malevegadish.com/product/%d7%a0%d7%a7%d7%95%d7%93%d7%95%d7%aa-%d7%a9%d7%9c-%d7%94%d7%aa%d7%97%d7%96%d7%a7%d7%95%d7%aa-%d7%90%d7%97%d7%99%d7%96%d7%aa-%d7%a2%d7%99%d7%a0%d7%99%d7%99%d7%9d-%d7%91%d7%9c%d7%91%d7%93/
11809,נקודות של התחזקות &#8211; אין יאוש בעולם כלל!,nekudot_shel_hitchzakot-3,0.4,0.4,ILS,False,0.0,0,"חוברות, נקודות של התחזקות, קונטרסים, קונטרסים - הוצאת בחינות, קונטרסים בינונים",True,https://malevegadish.com/product/%d7%a0%d7%a7%d7%95%d7%93%d7%95%d7%aa-%d7%a9%d7%9c-%d7%94%d7%aa%d7%97%d7%96%d7%a7%d7%95%d7%aa-%d7%90%d7%99%d7%9f-%d7%99%d7%90%d7%95%d7%a9-%d7%91%d7%a2%d7%95%d7%9c%d7%9d-%d7%9b%d7%9c%d7%9c/
11806,נקודות של התחזקות &#8211; מצווה להיות בשמחה,nekudot_shel_hitchzakot-2,0.4,0.4,ILS,False,0.0,0,"חוברות, נקודות של התחזקות, קונטרסים, קונטרסים - הוצאת בחינות, קונטרסים בינונים",True,https://malevegadish.com/product/%d7%a0%d7%a7%d7%95%d7%93%d7%95%d7%aa-%d7%a9%d7%9c-%d7%94%d7%aa%d7%97%d7%96%d7%a7%d7%95%d7%aa-%d7%94%d7%99%d7%95%d7%9d-%d7%a0%d7%95%d7%9c%d7%93%d7%aa-%d7%9e%d7%97%d7%93%d7%a9/
11803,נקודות של התחזקות &#8211; בריאה חדשה,nekudot_shel_hitchzakot-1,0.4,0.4,ILS,False,0.0,0,"חוברות, נקודות של התחזקות, קונטרסים, קונטרסים - הוצאת בחינות, קונטרסים בינונים",True,https://malevegadish.com/product/%d7%a0%d7%a7%d7%95%d7%93%d7%95%d7%aa-%d7%a9%d7%9c-%d7%94%d7%aa%d7%97%d7%96%d7%a7%d7%95%d7%aa-%d7%91%d7%a8%d7%99%d7%90%d7%94-%d7%97%d7%93%d7%a9%d7%94/
11731,דגל אומן ראש השנה,flag-1,7.0,7.0,ILS,False,0.0,0,"דגלים, מוצרים נלווים",True,https://malevegadish.com/product/%d7%93%d7%92%d7%9c-%d7%90%d7%95%d7%9e%d7%9f-%d7%a8%d7%90%d7%a9-%d7%94%d7%a9%d7%a0%d7%94/
11698,תמונת קנבס מנדלה &quot;עקר ישוב הדעת הוא על־ידי שמחה&quot; | במידה 30X30,Mandala_canvas_picture-23,30.0,30.0,ILS,False,0.0,0,"קנבסים מנדלות, תמונות קנבס",True,https://malevegadish.com/product/%d7%aa%d7%9e%d7%95%d7%a0%d7%aa-%d7%a7%d7%a0%d7%91%d7%a1-%d7%9e%d7%a0%d7%93%d7%9c%d7%94-%d7%a2%d7%a7%d7%a8-%d7%99%d7%a9%d7%95%d7%91-%d7%94%d7%93%d7%a2%d7%aa-%d7%94%d7%95%d7%90-%d7%a2%d7%9c%d6%be/
11695,תמונת קנבס לילדים &quot;טוב שיאמר האדם בשעת התבודדות היום אני מתחיל להתדבק בך&quot; | במידה 30X30,Canvas_picture_for_children-4,30.0,30.0,ILS,False,0.0,0,"קנבסים לילדים, תמונות קנבס",True,https://malevegadish.com/product/%d7%aa%d7%9e%d7%95%d7%a0%d7%aa-%d7%a7%d7%a0%d7%91%d7%a1-%d7%9c%d7%99%d7%9c%d7%93%d7%99%d7%9d-%d7%98%d7%95%d7%91-%d7%a9%d7%99%d7%90%d7%9e%d7%a8-%d7%94%d7%90%d7%93%d7%9d-%d7%91%d7%a9%d7%a2__trashed/
